learner_seed,source_seed,source_index,freeze_max_margin,commit_max_margin,freeze_certificate_safe,commit_certificate_safe,common_admitted,selected_for_deployment
2041,5051,7,-0.1804084308942004,-0.1444183091746795,True,True,True,False
2041,5051,8,-0.16847648547610283,-0.14251237380261012,True,True,True,False
2041,5051,9,-0.15822485204014497,-0.08504410351420895,True,True,True,False
2041,5051,10,-0.15050662054063904,-0.11984090664695447,True,True,True,False
2041,5051,11,-0.19276444150533903,-0.1842972130859783,True,True,True,False
2041,5051,12,-0.18397167516047716,-0.1606719626305091,True,True,True,False
2041,5051,13,-0.1660617671968317,-0.0988296570991202,True,True,True,True
2041,5051,14,-0.13192027589393596,-0.007417853445492617,True,True,True,False
2041,5051,15,-0.1844323029944104,-0.15965762111857346,True,True,True,False
2041,5051,16,-0.1656054237919004,-0.10480963936474923,True,True,True,False
2041,5051,17,-0.15320910357428644,-0.1262933317918426,True,True,True,False
2041,5051,18,-0.1438878493313812,-0.0418978346072435,True,True,True,False
2041,5051,19,-0.15827693758090478,-0.1205142370449475,True,True,True,False
2041,5051,20,-0.1711263502860118,-0.11981862433981051,True,True,True,False
2041,5051,21,-0.1823758119180205,-0.15845475238178394,True,True,True,False
2041,5051,22,-0.16321558568996494,-0.12936890484895364,True,True,True,False
2041,5051,23,-0.1614495852904872,-0.10138214087678908,True,True,True,False
2041,5051,24,-0.18990866924129524,-0.16852355137228298,True,True,True,False
2041,5051,25,-0.1549519208176864,-0.11170742661393868,True,True,True,False
2041,5051,26,-0.1751673954547605,-0.1207891923198738,True,True,True,False
2041,5051,27,-0.1844917263962879,-0.1538770855725886,True,True,True,False
2041,5051,28,-0.18805051617303403,-0.16854858621603613,True,True,True,False
2041,5051,29,-0.15162953250505745,-0.06449169499579727,True,True,True,False
2041,5051,30,-0.15219956503330656,-0.10564554639637172,True,True,True,False
2041,5051,31,-0.1925020144759512,-0.17411265184093092,True,True,True,False
2041,5051,32,-0.16339163209957683,-0.10031538074054526,True,True,True,False
2041,5051,33,-0.18825770214976909,-0.17778958604854417,True,True,True,True
2041,5051,34,-0.16350841588553439,-0.10179530363692418,True,True,True,False
2041,5051,35,-0.16542167501876048,-0.09657873604537755,True,True,True,False
2041,5051,36,-0.1488670935208153,-0.06038986822389719,True,True,True,False
2041,5051,37,-0.18426330663621068,-0.1815665489186915,True,True,True,False
2041,5051,38,-0.15522966296636365,-0.07745792463623699,True,True,True,False
2041,5051,39,-0.1798811541641726,-0.16082824516308855,True,True,True,False
2041,5051,40,-0.17196219143960562,-0.1513966858528339,True,True,True,False
2041,5051,41,-0.15691508101332075,-0.07624754697619904,True,True,True,False
2041,5051,42,-0.15713777013953428,-0.07670751341003729,True,True,True,False
2041,5051,43,-0.148257343187141,-0.058159193453489716,True,True,True,False
2041,5051,44,-0.17355538284740546,-0.12306528723074689,True,True,True,False
2041,5051,45,-0.1567204570756154,-0.11808230063673275,True,True,True,False
2041,5051,46,-0.18253454329661511,-0.14885201157179925,True,True,True,False
2041,5051,47,-0.170578126603806,-0.11851208670253902,True,True,True,False
2041,5052,0,-0.15417315027444403,-0.0687665270047152,True,True,True,False
2041,5052,1,-0.18103315831191685,-0.14837498591844445,True,True,True,False
2041,5052,2,-0.1629702868330481,-0.12706176005912068,True,True,True,False
2041,5052,3,-0.17193512044975306,-0.14463957607840125,True,True,True,False
2041,5052,4,-0.16904418000953353,-0.11378119151401922,True,True,True,False
2041,5052,5,-0.15330641828595448,-0.0676779767701643,True,True,True,False
2041,5052,6,-0.17318022803359254,-0.1196551516140757,True,True,True,True
2041,5052,7,-0.1521042112813908,-0.06606915321657325,True,True,True,False
2041,5052,8,-0.17990863248540723,-0.14786751118945865,True,True,True,False
2041,5052,9,-0.17552518812560208,-0.15258396546220698,True,True,True,False
2041,5052,10,-0.15978883069663155,-0.09412551140252955,True,True,True,False
2041,5052,11,-0.146085080240511,-0.05255046338170244,True,True,True,False
2041,5052,12,-0.16312695219096654,-0.09476662511113366,True,True,True,False
2041,5052,13,-0.15909336089506132,-0.1251203400536095,True,True,True,False
2041,5052,14,-0.17774718282687632,-0.13580665669928904,True,True,True,False
2041,5052,15,-0.15430913344649463,-0.07071562886597285,True,True,True,False
2041,5052,16,-0.14877633309077407,-0.05382916315989367,True,True,True,False
2041,5052,17,-0.17603247285625956,-0.15631661521052764,True,True,True,False
2041,5052,18,-0.1532814947279714,-0.07654125954446456,True,True,True,False
2041,5052,19,-0.15902516796378569,-0.08737763299200571,True,True,True,False
2041,5052,20,-0.1440650038761033,-0.03687919079113949,True,True,True,False
2041,5052,21,-0.15120654589204896,-0.06086766767258173,True,True,True,False
2041,5052,22,-0.17557835117235623,-0.12036850613671397,True,True,True,False
2041,5052,23,-0.1809127798474955,-0.15880678191419442,True,True,True,False
2041,5052,24,-0.17867039615201588,-0.15349922439144734,True,True,True,False
2041,5052,25,-0.18516754350491493,-0.15321913616162847,True,True,True,False
2041,5052,26,-0.17523098714751328,-0.1511336983787141,True,True,True,True
2041,5052,27,-0.16623585551060652,-0.1284754524147328,True,True,True,False
2041,5052,28,-0.14162853363506794,-0.03943673645817358,True,True,True,False
2041,5052,29,-0.15581715861499612,-0.07117120576034938,True,True,True,False
2041,5052,30,-0.15720039958174822,-0.0767065404522386,True,True,True,False
2041,5052,31,-0.19330234800434315,-0.18290279046543748,True,True,True,False
2041,5052,32,-0.14912858195542028,-0.0783037206727556,True,True,True,False
2041,5052,33,-0.1752865464040428,-0.13238582996534798,True,True,True,False
2041,5052,34,-0.18650121194613245,-0.1665041536476645,True,True,True,False
2041,5052,35,-0.18083546359838817,-0.14675583778409285,True,True,True,False
2041,5052,36,-0.1562498748609201,-0.12773508240527315,True,True,True,False
2041,5052,37,-0.15657973471055514,-0.11714623456936031,True,True,True,False
2041,5052,38,-0.18569676405926175,-0.1754950251917539,True,True,True,False
2041,5052,39,-0.15006999582607716,-0.05842815296819187,True,True,True,False
2041,5052,40,-0.1584040310266195,-0.11807199617884853,True,True,True,False
2041,5052,41,-0.15045718513444623,-0.054265417041942016,True,True,True,False
2041,5052,42,-0.19237934371093188,-0.1763388368484272,True,True,True,False
2041,5052,43,-0.1595508941194918,-0.08627094770708928,True,True,True,False
2041,5052,44,-0.1443745699512215,-0.048281509124152244,True,True,True,False
2041,5052,45,-0.16146984168826922,-0.13327350432302576,True,True,True,False
2041,5052,46,-0.15986722529540837,-0.08296933886751678,True,True,True,False
2041,5052,47,-0.17008702771565962,-0.11124272771333198,True,True,True,True
2042,5050,0,-0.1667901427609818,-0.09640414580758996,True,True,True,True
2042,5050,1,-0.1731543929651701,-0.12812259957494937,True,True,True,False
2042,5050,2,-0.18311275622129616,-0.12757487671898604,True,True,True,False
2042,5050,3,-0.15230713720004546,-0.014727256594301102,True,True,True,False
2042,5050,4,-0.15195028345867503,-0.042719142362821066,True,True,True,False
2042,5050,5,-0.17554760363040284,-0.1094437734756731,True,True,True,False
2042,5050,6,-0.17521856342402106,-0.09942240419795555,True,True,True,False
2042,5050,7,-0.1886555861116421,-0.16908047463469744,True,True,True,False
2042,5050,8,-0.1755409467009131,-0.09596475313184749,True,True,True,False
2042,5050,9,-0.1661132702267996,-0.06442376711657313,True,True,True,False
2042,5050,10,-0.15580949894852064,-0.0513191098625943,True,True,True,False
2042,5050,11,-0.19495186715493382,-0.17691636960199703,True,True,True,False
2042,5050,12,-0.17295074739542923,-0.12173448516814643,True,True,True,False
2042,5050,13,-0.16058498160559512,-0.07795844481312633,True,True,True,False
