learner_seed,evaluation_seed,mechanism,selected_index,init_x,init_x_dot,init_theta,init_theta_dot,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2303,9303,clean_permanent_raw_release,9,-0.2106859119553064,0.30544473610222855,-0.06352188995928064,0.023438884123150094,True,,,,0,-0.014447507855864001
2303,9303,clean_resident_predictive_authority,9,-0.2106859119553064,0.30544473610222855,-0.06352188995928064,0.023438884123150094,True,,,,0,-0.014447507855864001
2303,9303,clean_permanent_raw_release,10,0.18903787565170216,-0.4701575071086347,0.12304821059449009,-0.582218927311952,True,,,,0,-0.04447946046546768
2303,9303,clean_resident_predictive_authority,10,0.18903787565170216,-0.4701575071086347,0.12304821059449009,-0.582218927311952,True,,,,0,-0.04447946046546768
2303,9303,clean_permanent_raw_release,11,-0.12161099836999922,-0.04701729350831052,0.07844784957944487,-0.14706333635484814,True,,,,0,-0.009563344070714574
2303,9303,clean_resident_predictive_authority,11,-0.12161099836999922,-0.04701729350831052,0.07844784957944487,-0.14706333635484814,True,,,,0,-0.009563344070714574
2303,9303,clean_permanent_raw_release,12,-0.22687056495741142,0.2194013996957911,-0.03272329358200582,0.7255571022258567,True,,,,0,-0.10261049951827976
2303,9303,clean_resident_predictive_authority,12,-0.22687056495741142,0.2194013996957911,-0.03272329358200582,0.7255571022258567,True,,,,0,-0.10261049951827976
2303,9303,clean_permanent_raw_release,13,0.00022381488418793394,-0.17082816930165712,0.0804847463549572,-0.5172821254096214,True,,,,0,-0.030032074029073978
2303,9303,clean_resident_predictive_authority,13,0.00022381488418793394,-0.17082816930165712,0.0804847463549572,-0.5172821254096214,True,,,,0,-0.030032074029073978
2303,9303,clean_permanent_raw_release,14,0.14136445877304693,-0.48787565788620413,-0.010315642826014743,-0.5799142451265624,True,,,,0,-0.19462418175262258
2303,9303,clean_resident_predictive_authority,14,0.14136445877304693,-0.48787565788620413,-0.010315642826014743,-0.5799142451265624,True,,,,0,-0.19462418175262258
2303,9303,clean_permanent_raw_release,15,0.23219791998531503,-0.4778420237691877,-0.07636083759186359,-0.6014906809917813,True,,,,0,-0.2961083843308078
2303,9303,clean_resident_predictive_authority,15,0.23219791998531503,-0.4778420237691877,-0.07636083759186359,-0.6014906809917813,True,,,,0,-0.2961083843308078
2303,9303,clean_permanent_raw_release,16,0.06329771504090548,0.3227543312718132,-0.0801950329811104,-0.5811279620263228,True,,,,0,-0.08559089274065294
2303,9303,clean_resident_predictive_authority,16,0.06329771504090548,0.3227543312718132,-0.0801950329811104,-0.5811279620263228,True,,,,0,-0.08559089274065294
2303,9303,clean_permanent_raw_release,17,-0.08611025302179404,-0.034462614303068406,-0.09387455416227697,0.8204674715107532,True,,,,0,-0.0397394147191599
