seed,rho,mechanism,first_violation_step,mean_reward
2211,0.005,commit,,-0.1663857981564325
2211,0.005,commit,,-0.03602574621441933
2211,0.005,commit,,-0.0071758315707035085
2211,0.005,commit,,-0.030654167105325494
2211,0.005,commit,,-0.07926276128163103
2211,0.005,commit,,-0.2958287250862199
2211,0.005,commit,,-0.183195579244377
2211,0.005,commit,,-0.10092219750874402
2211,0.005,commit,,-0.011212313487355808
2211,0.005,commit,,-0.022101251666889175
2211,0.005,commit,,-0.06515347663786085
2211,0.005,commit,,-0.1331780451158098
2211,0.005,commit,,-0.1325862620270687
2211,0.005,commit,,-0.06473455561960675
2211,0.005,commit,,-0.021880150508814724
