duration,learner_seed,evaluation_seed,condition,batch,true_reward_mean,logged_reward_mean,max_abs_poison,known_sign_flag,scalar_envelope_flag,batch_mean_envelope_flag,trusted_recomputation_flag
48,2400,9400,constrained,38,-0.48884217663577106,-1.1059498391959661,1.5503778117573954,False,False,False,True
48,2400,9400,constrained,39,-0.33516580397703855,-0.29973311109518375,0.22403496561537273,False,False,False,True
48,2400,9400,constrained,40,-0.3403644134345536,-0.3626255623443001,0.22378863703519952,False,False,False,True
48,2400,9400,constrained,41,-0.5104159917281897,-0.43010100724635913,0.48377515786081315,False,False,False,True
48,2400,9400,constrained,42,-0.6608327320421029,-0.589791515912317,0.8782449418849178,False,False,False,True
48,2400,9400,constrained,43,-0.7560551227825589,-1.007965772442683,1.0828610233494371,False,False,False,True
48,2400,9400,constrained,44,-0.9490120443577466,-0.9463018210191104,0.09569974037412236,False,False,False,True
48,2400,9400,constrained,45,-1.1136276649903176,-1.1142824524409263,0.02002525324303387,False,False,False,True
48,2400,9400,constrained,46,-1.4142539324837677,-1.1719835327493902,0.8599578202181509,False,False,False,True
48,2400,9400,constrained,47,-1.5445575759373436,-1.5083885936073718,0.40143905440329763,False,False,False,True
48,2401,9401,clean,0,-3.1175348655655455,-3.1175348655655455,0.0,False,False,True,False
48,2401,9401,clean,1,-1.1209644593909853,-1.1209644593909853,0.0,False,False,False,False
48,2401,9401,clean,2,-0.48395225073634873,-0.48395225073634873,0.0,False,False,False,False
48,2401,9401,clean,3,-0.38695358015203285,-0.38695358015203285,0.0,False,False,False,False
48,2401,9401,clean,4,-0.2881070647998721,-0.2881070647998721,0.0,False,False,False,False
48,2401,9401,clean,5,-0.16884586241991095,-0.16884586241991095,0.0,False,False,False,False
48,2401,9401,clean,6,-0.14692790301543557,-0.14692790301543557,0.0,False,False,False,False
48,2401,9401,clean,7,-0.12013329693044622,-0.12013329693044622,0.0,False,False,False,False
48,2401,9401,clean,8,-0.07952823560718364,-0.07952823560718364,0.0,False,False,False,False
48,2401,9401,clean,9,-0.0941973548432466,-0.0941973548432466,0.0,False,False,False,False
48,2401,9401,clean,10,-0.1905467974099655,-0.1905467974099655,0.0,False,False,False,False
48,2401,9401,clean,11,-0.14883129468868153,-0.14883129468868153,0.0,False,False,False,False
48,2401,9401,clean,12,-0.0953057858518288,-0.0953057858518288,0.0,False,False,False,False
48,2401,9401,clean,13,-0.14894844631954507,-0.14894844631954507,0.0,False,False,False,False
48,2401,9401,clean,14,-0.09361123558680448,-0.09361123558680448,0.0,False,False,False,False
48,2401,9401,clean,15,-0.0976499463039549,-0.0976499463039549,0.0,False,False,False,False
48,2401,9401,clean,16,-0.07764558766451043,-0.07764558766451043,0.0,False,False,False,False
48,2401,9401,clean,17,-0.07480535023593449,-0.07480535023593449,0.0,False,False,False,False
48,2401,9401,clean,18,-1.5167684023375763,-1.5167684023375763,0.0,False,False,False,False
48,2401,9401,clean,19,-1.3791378413042792,-1.3791378413042792,0.0,False,False,False,False
48,2401,9401,clean,20,-1.0399969948257897,-1.0399969948257897,0.0,False,False,False,False
48,2401,9401,clean,21,-0.5457390899314598,-0.5457390899314598,0.0,False,False,False,False
48,2401,9401,clean,22,-0.43300418142087815,-0.43300418142087815,0.0,False,False,False,False
48,2401,9401,clean,23,-0.32323586469669896,-0.32323586469669896,0.0,False,False,False,False
48,2401,9401,clean,24,-0.35423024164623385,-0.35423024164623385,0.0,False,False,False,False
48,2401,9401,clean,25,-0.4227399144378494,-0.4227399144378494,0.0,False,False,False,False
48,2401,9401,clean,26,-0.38062242653700373,-0.38062242653700373,0.0,False,False,False,False
48,2401,9401,clean,27,-0.3293351375831448,-0.3293351375831448,0.0,False,False,False,False
48,2401,9401,clean,28,-0.3324120013484695,-0.3324120013484695,0.0,False,False,False,False
48,2401,9401,clean,29,-0.359415575937565,-0.359415575937565,0.0,False,False,False,False
48,2401,9401,clean,30,-0.45369988648043574,-0.45369988648043574,0.0,False,False,False,False
48,2401,9401,clean,31,-0.6061782414814065,-0.6061782414814065,0.0,False,False,False,False
48,2401,9401,clean,32,-0.7344762094719745,-0.7344762094719745,0.0,False,False,False,False
48,2401,9401,clean,33,-0.8560813279521973,-0.8560813279521973,0.0,False,False,False,False
48,2401,9401,clean,34,-0.9467085946669559,-0.9467085946669559,0.0,False,False,False,False
48,2401,9401,clean,35,-0.8850370118515384,-0.8850370118515384,0.0,False,False,False,False
48,2401,9401,clean,36,-0.7583722141080189,-0.7583722141080189,0.0,False,False,False,False
48,2401,9401,clean,37,-1.6811264696912533,-1.6811264696912533,0.0,False,False,False,False
48,2401,9401,clean,38,-1.2325842190512668,-1.2325842190512668,0.0,False,False,False,False
48,2401,9401,clean,39,-1.0734899443413626,-1.0734899443413626,0.0,False,False,False,False
48,2401,9401,clean,40,-0.8733374476455359,-0.8733374476455359,0.0,False,False,False,False
48,2401,9401,clean,41,-0.6244673941980685,-0.6244673941980685,0.0,False,False,False,False
48,2401,9401,clean,42,-0.6399763753406722,-0.6399763753406722,0.0,False,False,False,False
48,2401,9401,clean,43,-0.594910839265109,-0.594910839265109,0.0,False,False,False,False
48,2401,9401,clean,44,-0.5366695583178839,-0.5366695583178839,0.0,False,False,False,False
48,2401,9401,clean,45,-0.4416531544516077,-0.4416531544516077,0.0,False,False,False,False
48,2401,9401,clean,46,-0.3556143043064099,-0.3556143043064099,0.0,False,False,False,False
48,2401,9401,clean,47,-0.3521148172351266,-0.3521148172351266,0.0,False,False,False,False
48,2401,9401,unconstrained,0,-3.1175348655655455,-3.3020899663508425,1.9999986576660147,True,True,True,True
48,2401,9401,unconstrained,1,-1.1209644593909853,-0.3104715558199909,1.9972962755151809,True,True,False,True
48,2401,9401,unconstrained,2,-0.4757120422394152,0.1069950491335871,1.7188329337167887,True,True,False,True
48,2401,9401,unconstrained,3,-0.4130057001026113,-0.4357838510872864,1.9803812261790152,True,True,False,True
48,2401,9401,unconstrained,4,-0.2167143660363845,-0.07209031868285992,1.9281488860250395,True,True,False,True
