mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
clean_a2c_snapshot,0.0,0.0,-0.1,-0.5,120,0,,-0.17082886301705164
clean_a2c_snapshot,0.0,0.0,-0.1,0.0,120,0,,-0.03658973989424039
clean_a2c_snapshot,0.0,0.0,-0.1,0.5,120,0,,-0.005677198886499566
clean_a2c_snapshot,0.0,0.0,-0.1,0.75,120,0,,-0.028813957710069227
clean_a2c_snapshot,0.0,0.0,-0.1,1.0,120,0,,-0.07753855600985395
clean_a2c_snapshot,0.0,0.0,-0.05,-1.0,120,0,,-0.3042255125342653
clean_a2c_snapshot,0.0,0.0,-0.05,-0.75,120,0,,-0.1884135460619104
clean_a2c_snapshot,0.0,0.0,-0.05,-0.5,120,0,,-0.10367639130230592
clean_a2c_snapshot,0.0,0.0,-0.05,0.0,120,0,,-0.01082942573217122
clean_a2c_snapshot,0.0,0.0,-0.05,0.5,120,0,,-0.02038215494234172
clean_a2c_snapshot,0.0,0.0,-0.05,0.75,120,0,,-0.06345224056249067
clean_a2c_snapshot,0.0,0.0,-0.05,1.0,120,0,,-0.131946990320202
clean_a2c_snapshot,0.0,0.0,0.05,-1.0,120,0,,-0.13695733276306754
clean_a2c_snapshot,0.0,0.0,0.05,-0.75,120,0,,-0.06717392952860134
clean_a2c_snapshot,0.0,0.0,0.05,-0.5,120,0,,-0.022804381043455082
clean_a2c_snapshot,0.0,0.0,0.05,0.0,120,0,,-0.010633544696672194
clean_a2c_snapshot,0.0,0.0,0.05,0.5,120,0,,-0.10085792192730887
clean_a2c_snapshot,0.0,0.0,0.05,0.75,120,0,,-0.18392576004388453
clean_a2c_snapshot,0.0,0.0,0.05,1.0,120,0,,-0.2979799658677366
clean_a2c_snapshot,0.0,0.0,0.1,-1.0,120,0,,-0.08237049595453488
clean_a2c_snapshot,0.0,0.0,0.1,-0.75,120,0,,-0.032352882687345055
clean_a2c_snapshot,0.0,0.0,0.1,-0.5,120,0,,-0.007911292115740218
clean_a2c_snapshot,0.0,0.0,0.1,0.0,120,0,,-0.03619146410730605
clean_a2c_snapshot,0.0,0.0,0.1,0.5,120,0,,-0.16733572531634225
clean_a2c_snapshot,0.0,0.0,0.1,0.75,120,0,,-0.27493510297441165
clean_a2c_snapshot,0.0,0.0,0.1,1.0,120,0,,-0.4227893268118531
clean_a2c_snapshot,0.0,0.0,0.15,-1.0,120,0,,-0.04446500703948471
clean_a2c_snapshot,0.0,0.0,0.15,-0.75,120,0,,-0.014245976850165015
clean_a2c_snapshot,0.0,0.0,0.15,-0.5,120,0,,-0.00992926140037574
